sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG01392	PUR	American	0.001185	3	0.042329	2426	21	0.9972	-0.6669	-0.5977	10.8195	10.3236	-0.7563	-0.0059	0.7306
HG01393	PUR	American	0.000758	2	0.036932	1479	5	-0.6772	-1.625	-1.2134	14.3654	9.241	-0.409	-1.3604	0.2712
HG01395	PUR	American	0.007389	8	0.036453	1203	23	-0.316	-0.4316	0.3254	9.5727	9.7867	-0.0241	-0.2023	-0.0584
HG01396	PUR	American	0.004877	9	0.038195	1808	17	-0.159	-0.4951	-0.4498	11.4494	8.6631	-0.2143	-0.4485	0.2046
HG01398	PUR	American	0.003583	3	0.035092	1015	19	-0.4605	-1.1632	0.1957	12.0762	11.7917	-0.1606	-0.5277	-0.014
HG01402	PUR	American	0.000756	2	0.04299	2038	17	0.7345	-0.9262	-0.9128	11.162	10.1733	-0.8382	-0.3858	0.8077
HG01403	PUR	American	0.002217	5	0.04144	1682	20	0.442	-0.7074	-0.4656	11.1273	10.3207	-0.6171	-0.2773	0.6072
HG01405	PUR	American	0.002232	3	0.036702	1429	13	-0.3931	-1.266	-0.5297	13.5383	9.8871	-0.3214	-0.8259	0.187
HG01412	PUR	American	0.000846	2	0.040528	1729	12	0.1165	-1.226	-1.0299	11.8257	10.1258	-0.6607	-0.8126	0.5859
HG01413	PUR	American	0.00159	3	0.035578	1559	14	-0.3762	-1.2892	-0.3613	13.2026	10.2608	-0.264	-0.7219	0.1153
HG01414	PUR	American	0.00202	4	0.040296	1542	12	-0.0853	-1.0855	-0.9845	11.8501	10.1143	-0.5631	-0.8636	0.5144
HG01431	CLM	American	0.001539	3	0.039141	1963	21	0.4855	-0.8667	-0.2034	10.8991	10.8852	-0.5182	-0.1322	0.433
HG01432	CLM	American	0.004395	8	0.036372	1226	17	-0.5401	-0.7772	-0.1577	12.3268	9.1976	-0.1221	-0.6072	0.0642
HG01433	UNKNOWN		0.004877	9	0.039442	1889	15	-0.1057	-0.4884	-0.7508	11.8167	8.4963	-0.3027	-0.5635	0.3151
HG01435	CLM	American	0.002606	5	0.038149	1187	11	-0.5417	-1.1776	-0.7988	13.6067	9.1085	-0.3706	-1.0289	0.299
HG01437	CLM	American	0.002642	3	0.040221	1340	14	-0.062	-1.0981	-0.7713	11.8081	10.246	-0.5565	-0.7816	0.4809
HG01438	CLM	American	0.004104	7	0.031649	1264	15	-1.0245	-1.0848	0.1312	14.6156	11.0125	0.1822	-0.7339	-0.3415
HG01439	UNKNOWN		0.002715	5	0.035847	1232	6	-0.9892	-1.3948	-0.9985	14.3648	9.0818	-0.2037	-1.3592	0.0904
HG01440	CLM	American	0.002618	5	0.038893	1598	19	0.1066	-0.8283	-0.2876	11.3257	10.405	-0.4228	-0.3687	0.3643
HG01441	CLM	American	0.000349	1	0.035908	1088	19	-0.2048	-1.4247	0.1217	12.3584	11.7073	-0.3708	-0.5078	0.1982
HG01443	CLM	American	0.003885	7	0.028804	1128	14	-1.3959	-1.264	0.3496	16.5054	9.806	0.3761	-0.8394	-0.5839
HG01444	CLM	American	0.000821	2	0.042606	1941	24	1.0023	-0.7542	-0.2793	10.4859	10.4666	-0.8088	0.0674	0.771
HG01447	CLM	American	0.000365	1	0.035722	1416	22	0.071	-1.2737	0.3253	11.3958	11.9544	-0.357	-0.2128	0.1811
HG01455	CLM	American	0.001697	4	0.034919	1371	20	-0.2598	-1.1131	0.2288	11.9127	11.6917	-0.1935	-0.3621	0.0524
HG01456	CLM	American	0.00065	1	0.036089	1229	19	-0.1329	-1.3703	0.0766	12.3874	11.685	-0.3732	-0.4693	0.2013
HG01457	UNKNOWN		0.001913	4	0.035523	1353	19	-0.2659	-1.1104	0.0906	11.9691	11.5499	-0.2287	-0.4355	0.0964
HG01459	CLM	American	0.002306	5	0.03269	1146	8	-1.2143	-1.499	-0.5109	15.675	9.714	0.0058	-1.2456	-0.1715
HG01461	CLM	American	0.002875	5	0.036725	1230	7	-0.8619	-1.3235	-1.0007	14.255	9.0816	-0.2603	-1.2913	0.1612
